sizeClass,matches,covers,count
16,1,100% fully covered,1
15,1,100% fully covered,2
14,2,100% fully covered,1
14,1,100% fully covered,5
13,2,0.50% fully covered 0.50% matches stem,3
13,2,100% fully covered,2
13,1,100% fully covered,5
12,3,0.70% fully covered 0.30% matches stem,1
12,2,0.50% fully covered 0.50% matches stem,3
12,1,100% fully covered,14
11,3,0.70% fully covered 0.30% matches stem,2
11,2,0.50% fully covered 0.50% matches stem,2
11,2,100% fully covered,1
11,1,100% fully covered,29
10,2,0.50% fully covered 0.50% matches stem,7
10,2,100% fully covered,1
10,1,100% fully covered,34
9,2,0.50% fully covered 0.50% matches stem,7
9,2,100% fully covered,7
9,1,100% fully covered,69
8,2,0.50% fully covered 0.50% matches stem,13
8,2,100% fully covered,3
8,1,100% fully covered,131
7,3,0.30% fully covered 0.70% matches stem,1
7,2,0.50% fully covered 0.50% matches stem,16
7,2,100% fully covered,7
7,1,100% fully covered,211
6,3,0.30% fully covered 0.70% matches stem,1
6,2,0.50% fully covered 0.50% matches stem,25
6,2,100% fully covered,10
6,1,100% fully covered,412
5,2,0.50% fully covered 0.50% matches stem,30
5,2,100% fully covered,5
5,1,100% fully covered,784
4,3,0.30% fully covered 0.70% matches stem,2
4,2,0.50% fully covered 0.50% matches stem,49
4,1,100% fully covered,1721
3,2,0.50% fully covered 0.50% matches stem,50
3,1,100% fully covered,2908
2,2,0.50% fully covered 0.50% matches stem,26
2,1,100% fully covered,4024
